scene,dialogue_index,context,expected_response,prediction,exact_match,content_correct,style_consistent,notes
51. 过夜,1,旁白：现在是晚上。佩奇要去佐伊斑马家过夜。,你好，佐伊。,太棒啦！我带上我的泰迪熊！,0.0,,,
51. 过夜,4,猪妈妈说：我明天早上来接你。再见，佩奇。,再见。,再见，妈妈！我会做个好梦的！,0.0,,,
51. 过夜,6,"佩奇说：再见。
旁白：丽贝卡、苏西和艾米丽已经到了。",大家好。,你好，朋友们！我们玩捉迷藏吧！,0.0,,,
51. 过夜,7,佩奇说：大家好。,你好，佩奇。,我们去数星星吧！谁先找到最亮的？,0.0,,,
51. 过夜,8,佩奇的朋友们说：你好，佩奇。,我有我的泰迪玩具大家好。,我带了秘密玩具！不给你看！,0.0,,,
51. 过夜,28,佐伊说：但是过夜只适合大女孩。,它们又甜又小。,我是个大女孩！我能照顾小乔治！,0.0,,,
51. 过夜,32,祖祖&扎扎说：我们保证。,哇，一架钢琴。我在上课听……闪烁的小星星，我可以试一试吗？,嘘！我知道一个秘密洞穴！要来吗？,0.0,,,
51. 过夜,36,斑马妈妈说：嘘，你一定要安静，所以斑马爸爸可以睡觉了。现在请放进你的睡袋里。,我们现在该怎么办？,好的！我最喜欢睡袋了！,0.0,,,
51. 过夜,38,苏西说：在睡懒觉的时候总是午夜的盛宴。,什么是午夜宴会？,偷偷吃饼干！不要让爸爸发现！,0.0,,,
51. 过夜,44,"佐伊说：嘘，苏西，嘘佩奇。安静的……
旁白：斑马妈妈醒了。",我们会有最好的午夜盛宴。,对不起！我们小声点！,0.0,,,
51. 过夜,46,斑马妈妈说：发生什么事？你会吵醒斑马爸爸的。现在谁知道温柔的睡前故事。,我，还有我……,我！我！我知道《月亮兔子》的故事！,0.0,,,
51. 过夜,53,艾米丽说：嗯，我不太确定。,说什么都行，艾米丽。,我来讲！兔子跳进月亮，变成奶昔！,0.0,,,
51. 过夜,61,丽贝卡说：还有一个可怕的怪物。,我们想知道接下来会发生什么。,怪物是月亮兔子的朋友！它很温柔！,0.0,,,
51. 过夜,1,旁白：现在是晚上。佩奇要去佐伊斑马家过夜。,你好，佐伊。,太好玩啦！我要数一百只羊！,0.0,,,
51. 过夜,4,猪妈妈说：我明天早上来接你。再见，佩奇。,再见。,再见，妈妈！我爱睡觉！,0.0,,,
51. 过夜,6,"佩奇说：再见。
旁白：丽贝卡、苏西和艾米丽已经到了。",大家好。,欢迎来我家！我们玩枕头大战吧！,0.0,,,
51. 过夜,7,佩奇说：大家好。,你好，佩奇。,我带了彩虹毯子！我们可以盖着它睡觉！,0.0,,,
51. 过夜,8,佩奇的朋友们说：你好，佩奇。,我有我的泰迪玩具大家好。,我有个秘密游戏！找找看藏在哪里了！,0.0,,,
51. 过夜,28,佐伊说：但是过夜只适合大女孩。,它们又甜又小。,我是大女孩！我会自己穿睡衣！,0.0,,,
